09 Feb 02:40:05 ::  Train Loss Prior: 2.309493732324633
09 Feb 02:43:18 ::  Train Loss Prior: 2.305199852063886
09 Feb 02:46:30 ::  Train Loss Prior: 2.3010524247073083
09 Feb 02:49:40 ::  Train Loss Prior: 2.296916101979229
09 Feb 02:53:01 ::  Train Loss Prior: 2.293249516916275
09 Feb 02:56:11 ::  Train Loss Prior: 2.2894615675542695
09 Feb 02:59:26 ::  Train Loss Prior: 2.2853490084597743
09 Feb 03:02:53 ::  Train Loss Prior: 2.2817232557472185
09 Feb 03:06:20 ::  Train Loss Prior: 2.2783629064470983
09 Feb 03:09:22 ::  Train Loss Prior: 2.27468861037357
09 Feb 03:12:44 ::  Train Loss Prior: 2.270402327259838
09 Feb 03:16:06 ::  Train Loss Prior: 2.2668747088136194
09 Feb 03:19:29 ::  Train Loss Prior: 2.263547314172607
09 Feb 03:22:55 ::  Train Loss Prior: 2.2594890747406566
09 Feb 03:26:20 ::  Train Loss Prior: 2.2556816116086416
09 Feb 03:29:51 ::  Train Loss Prior: 2.2519857115406836
09 Feb 03:33:25 ::  Train Loss Prior: 2.250107439157499
09 Feb 03:36:55 ::  Train Loss Prior: 2.24567584169172
09 Feb 03:40:28 ::  Train Loss Prior: 2.2415508909273876
09 Feb 03:44:01 ::  Train Loss Prior: 2.2380295015300056
09 Feb 03:47:37 ::  Train Loss Prior: 2.234282284548695
09 Feb 03:51:15 ::  Train Loss Prior: 2.230669270234491
09 Feb 03:54:43 ::  Train Loss Prior: 2.2264680368000653
09 Feb 03:58:21 ::  Train Loss Prior: 2.2232597853501024
09 Feb 04:02:06 ::  Train Loss Prior: 2.2191891779505695
09 Feb 04:05:49 ::  Train Loss Prior: 2.2145859412745756
09 Feb 04:09:31 ::  Train Loss Prior: 2.2115713812036506
09 Feb 04:13:19 ::  Train Loss Prior: 2.20899583645356
09 Feb 04:17:00 ::  Train Loss Prior: 2.2062058554881294
09 Feb 04:20:39 ::  Train Loss Prior: 2.2021467567013198
09 Feb 04:24:35 ::  Train Loss Prior: 2.1992293794216704
09 Feb 04:28:26 ::  Train Loss Prior: 2.1950913049968808
09 Feb 04:32:07 ::  Train Loss Prior: 2.191353520152583
09 Feb 04:35:52 ::  Train Loss Prior: 2.187965097320567
09 Feb 04:39:49 ::  Train Loss Prior: 2.184784456594876
09 Feb 04:43:50 ::  Train Loss Prior: 2.181066942819932
09 Feb 04:47:51 ::  Train Loss Prior: 2.1781937130207467
09 Feb 04:52:02 ::  Train Loss Prior: 2.1739702326659027
09 Feb 04:56:02 ::  Train Loss Prior: 2.1703570531463625
09 Feb 05:00:14 ::  Train Loss Prior: 2.161714133453369
09 Feb 05:04:19 ::  Train Loss Prior: 2.1523940385437013
09 Feb 05:08:18 ::  Train Loss Prior: 2.1430591721343992
09 Feb 05:12:23 ::  Train Loss Prior: 2.1344618727111815
09 Feb 05:16:26 ::  Train Loss Prior: 2.1257008432388305
09 Feb 05:20:26 ::  Train Loss Prior: 2.1167194772720337
09 Feb 05:24:27 ::  Train Loss Prior: 2.107889073867798
09 Feb 05:28:24 ::  Train Loss Prior: 2.0979265992736815
09 Feb 05:32:32 ::  Train Loss Prior: 2.0879753264999388
09 Feb 05:36:37 ::  Train Loss Prior: 2.0776835766601565
09 Feb 05:40:41 ::  Train Loss Prior: 2.0680379280471803
09 Feb 05:44:41 ::  Train Loss Prior: 2.0599834452056887
09 Feb 05:48:43 ::  Train Loss Prior: 2.0506804304504396
09 Feb 05:52:49 ::  Train Loss Prior: 2.042272589225769
09 Feb 05:56:50 ::  Train Loss Prior: 2.033307991142273
09 Feb 06:00:47 ::  Train Loss Prior: 2.023822303085327
09 Feb 06:04:53 ::  Train Loss Prior: 2.016244920387268
09 Feb 06:09:07 ::  Train Loss Prior: 2.0070025317382814
09 Feb 06:13:08 ::  Train Loss Prior: 2.0002698085403443
09 Feb 06:17:08 ::  Train Loss Prior: 1.9923795669174194
09 Feb 06:21:17 ::  Train Loss Prior: 1.9851398115539551
09 Feb 06:25:20 ::  Train Loss Prior: 1.9773916233444213
09 Feb 06:29:20 ::  Train Loss Prior: 1.9699703978347778
09 Feb 06:33:25 ::  Train Loss Prior: 1.9626127507209778
09 Feb 06:37:27 ::  Train Loss Prior: 1.9550109069252015
09 Feb 06:41:27 ::  Train Loss Prior: 1.9476299728393556
09 Feb 06:45:26 ::  Train Loss Prior: 1.9403343816757201
09 Feb 06:49:26 ::  Train Loss Prior: 1.9320639254760743
09 Feb 06:53:33 ::  Train Loss Prior: 1.92423864402771
09 Feb 06:57:33 ::  Train Loss Prior: 1.917377629108429
09 Feb 07:01:39 ::  Train Loss Prior: 1.9095883770942688
09 Feb 07:05:38 ::  Train Loss Prior: 1.9031922945976256
09 Feb 07:09:35 ::  Train Loss Prior: 1.89652894405365
09 Feb 07:13:39 ::  Train Loss Prior: 1.8888472187423706
09 Feb 07:17:45 ::  Train Loss Prior: 1.8822127431488036
09 Feb 07:21:49 ::  Train Loss Prior: 1.8748232569885255
09 Feb 07:25:52 ::  Train Loss Prior: 1.8679231224441528
09 Feb 07:29:55 ::  Train Loss Prior: 1.8618469783782958
09 Feb 07:33:52 ::  Train Loss Prior: 1.8547230527877807
09 Feb 07:37:45 ::  Train Loss Prior: 1.8489045807647706
09 Feb 07:41:47 ::  Train Loss Prior: 1.8414702592277528
09 Feb 07:45:49 ::  Train Loss Prior: 1.833899045944214
09 Feb 07:49:51 ::  Train Loss Prior: 1.8285142272186279
09 Feb 07:53:51 ::  Train Loss Prior: 1.8219197751808167
09 Feb 07:57:53 ::  Train Loss Prior: 1.8171119657325745
09 Feb 08:01:55 ::  Train Loss Prior: 1.809854714565277
09 Feb 08:05:56 ::  Train Loss Prior: 1.804600821094513
09 Feb 08:09:57 ::  Train Loss Prior: 1.7975246675491332
09 Feb 08:14:03 ::  Train Loss Prior: 1.791830471572876
09 Feb 08:17:58 ::  Train Loss Prior: 1.7865661281585694
09 Feb 08:21:58 ::  Train Loss Prior: 1.7797207340049743
09 Feb 08:25:53 ::  Train Loss Prior: 1.7743134330177308
09 Feb 08:29:56 ::  Train Loss Prior: 1.7682059391975402
09 Feb 08:34:00 ::  Train Loss Prior: 1.761890735721588
09 Feb 08:38:08 ::  Train Loss Prior: 1.7567698194694519
09 Feb 08:42:06 ::  Train Loss Prior: 1.751221535987854
09 Feb 08:46:07 ::  Train Loss Prior: 1.7447532739257812
09 Feb 08:50:11 ::  Train Loss Prior: 1.738297180519104
09 Feb 08:54:12 ::  Train Loss Prior: 1.7340077327728272
09 Feb 08:58:12 ::  Train Loss Prior: 1.7283442858695983
09 Feb 09:02:15 ::  Train Loss Prior: 1.7243174650001525
09 Feb 09:06:15 ::  Train Loss Prior: 1.7192650943183898
09 Feb 09:10:10 ::  Train Loss Prior: 1.7130444500923157
09 Feb 09:14:16 ::  Train Loss Prior: 1.7090068720817566
09 Feb 09:18:09 ::  Train Loss Prior: 1.7043023856925965
09 Feb 09:22:06 ::  Train Loss Prior: 1.6992252452087402
09 Feb 09:26:01 ::  Train Loss Prior: 1.6950174828910827
09 Feb 09:30:02 ::  Train Loss Prior: 1.6905784818077088
09 Feb 09:34:10 ::  Train Loss Prior: 1.685063500289917
09 Feb 09:38:11 ::  Train Loss Prior: 1.6818539491081237
09 Feb 09:42:15 ::  Train Loss Prior: 1.6782487561416626
09 Feb 09:46:15 ::  Train Loss Prior: 1.6734964862060546
09 Feb 09:50:20 ::  Train Loss Prior: 1.6696510679244996
09 Feb 09:54:22 ::  Train Loss Prior: 1.665152501964569
09 Feb 09:58:23 ::  Train Loss Prior: 1.6607635056877137
09 Feb 10:02:26 ::  Train Loss Prior: 1.6569872509002685
09 Feb 10:06:28 ::  Train Loss Prior: 1.6538540547180176
09 Feb 10:10:26 ::  Train Loss Prior: 1.6492282606315614
09 Feb 10:14:26 ::  Train Loss Prior: 1.6452937859153747
09 Feb 10:18:27 ::  Train Loss Prior: 1.6411686338424682
09 Feb 10:22:33 ::  Train Loss Prior: 1.638271783542633
09 Feb 10:26:33 ::  Train Loss Prior: 1.6347340273857116
09 Feb 10:30:31 ::  Train Loss Prior: 1.6307396601867676
09 Feb 10:34:32 ::  Train Loss Prior: 1.6273771041870118
09 Feb 10:38:31 ::  Train Loss Prior: 1.6233226706504822
09 Feb 10:42:39 ::  Train Loss Prior: 1.6189353948211669
09 Feb 10:46:39 ::  Train Loss Prior: 1.6153583019447326
09 Feb 10:50:47 ::  Train Loss Prior: 1.6116461457443236
09 Feb 10:55:03 ::  Train Loss Prior: 1.6070050169181824
09 Feb 10:59:07 ::  Train Loss Prior: 1.6033289052200317
09 Feb 11:03:14 ::  Train Loss Prior: 1.5998083903694154
09 Feb 11:07:19 ::  Train Loss Prior: 1.5955200574302673
09 Feb 11:11:18 ::  Train Loss Prior: 1.5914999185180665
09 Feb 11:15:20 ::  Train Loss Prior: 1.5871194890594482
09 Feb 11:19:17 ::  Train Loss Prior: 1.5844568451499939
09 Feb 11:23:22 ::  Train Loss Prior: 1.581929519367218
09 Feb 11:27:25 ::  Train Loss Prior: 1.5783347281837463
09 Feb 11:31:24 ::  Train Loss Prior: 1.5748221500587463
09 Feb 11:35:28 ::  Train Loss Prior: 1.571556442451477
09 Feb 11:39:28 ::  Train Loss Prior: 1.5677586484909058
09 Feb 11:43:27 ::  Train Loss Prior: 1.5645525205612183
09 Feb 11:47:24 ::  Train Loss Prior: 1.5613111190223694
09 Feb 11:51:22 ::  Train Loss Prior: 1.557223183441162
09 Feb 11:55:21 ::  Train Loss Prior: 1.5547445896339416
09 Feb 11:59:16 ::  Train Loss Prior: 1.5525917539215088
09 Feb 12:03:19 ::  Train Loss Prior: 1.548037899799347
09 Feb 12:07:21 ::  Train Loss Prior: 1.5453435862731935
09 Feb 12:11:27 ::  Train Loss Prior: 1.5411810503768921
09 Feb 12:15:29 ::  Train Loss Prior: 1.5400637474632264
09 Feb 12:19:17 ::  Train Loss Prior: 1.5375884259605408
09 Feb 12:23:22 ::  Train Loss Prior: 1.5344413409805298
09 Feb 12:27:25 ::  Train Loss Prior: 1.5306931709671021
09 Feb 12:31:24 ::  Train Loss Prior: 1.5285155320739745
09 Feb 12:35:25 ::  Train Loss Prior: 1.5257083686828614
09 Feb 12:39:28 ::  Train Loss Prior: 1.5231242850494384
09 Feb 12:43:30 ::  Train Loss Prior: 1.5206432663536071
09 Feb 12:47:27 ::  Train Loss Prior: 1.5172838190460205
09 Feb 12:51:26 ::  Train Loss Prior: 1.5146530035209655
09 Feb 12:55:30 ::  Train Loss Prior: 1.5114984232902526
09 Feb 12:59:32 ::  Train Loss Prior: 1.5077839505004882
09 Feb 13:03:35 ::  Train Loss Prior: 1.5046301357841492
09 Feb 13:07:41 ::  Train Loss Prior: 1.5029920207595826
09 Feb 13:11:42 ::  Train Loss Prior: 1.4986846193885803
09 Feb 13:15:42 ::  Train Loss Prior: 1.4953557954788208
09 Feb 13:19:48 ::  Train Loss Prior: 1.4924531559562684
09 Feb 13:23:55 ::  Train Loss Prior: 1.4894386674118043
09 Feb 13:28:07 ::  Train Loss Prior: 1.4863655611610413
09 Feb 13:32:15 ::  Train Loss Prior: 1.4830268672180176
09 Feb 13:36:18 ::  Train Loss Prior: 1.480177928237915
09 Feb 13:40:03 ::  Train Loss Prior: 1.4770070627212524
09 Feb 13:44:10 ::  Train Loss Prior: 1.4738536305713654
09 Feb 13:48:04 ::  Train Loss Prior: 1.471439132041931
09 Feb 13:52:07 ::  Train Loss Prior: 1.4688740901184083
09 Feb 13:56:06 ::  Train Loss Prior: 1.4654622764205933
09 Feb 14:00:09 ::  Train Loss Prior: 1.463607054710388
09 Feb 14:04:17 ::  Train Loss Prior: 1.4594298120117188
09 Feb 14:08:19 ::  Train Loss Prior: 1.4564973120307922
09 Feb 14:12:25 ::  Train Loss Prior: 1.4554192476272583
09 Feb 14:16:32 ::  Train Loss Prior: 1.4536688679504395
09 Feb 14:20:35 ::  Train Loss Prior: 1.450599437980652
09 Feb 14:25:00 ::  Train Loss Prior: 1.4480516446304321
09 Feb 14:29:02 ::  Train Loss Prior: 1.4448506423377991
09 Feb 14:33:08 ::  Train Loss Prior: 1.4433938892745972
09 Feb 14:37:11 ::  Train Loss Prior: 1.4410744496917725
09 Feb 14:41:14 ::  Train Loss Prior: 1.437170427570343
09 Feb 14:45:17 ::  Train Loss Prior: 1.4349216907691955
09 Feb 14:49:10 ::  Train Loss Prior: 1.4328498906135558
09 Feb 14:53:13 ::  Train Loss Prior: 1.430948077955246
09 Feb 14:57:12 ::  Train Loss Prior: 1.4280712804985047
09 Feb 15:01:13 ::  Train Loss Prior: 1.4250886926651
09 Feb 15:05:17 ::  Train Loss Prior: 1.4239609636306763
09 Feb 15:09:19 ::  Train Loss Prior: 1.4218489652824402
09 Feb 15:13:16 ::  Train Loss Prior: 1.419493380203247
09 Feb 15:17:11 ::  Train Loss Prior: 1.418090663986206
09 Feb 15:21:09 ::  Train Loss Prior: 1.4169302835464477
09 Feb 15:25:15 ::  Train Loss Prior: 1.414051836566925
