09 Feb 00:10:24 ::  Train Loss Value: 0.3848787594259428
09 Feb 00:12:10 ::  Train Loss Value: 0.3845208378094294
09 Feb 00:13:47 ::  Train Loss Value: 0.38084893592873986
09 Feb 00:15:25 ::  Train Loss Value: 0.381242101743586
09 Feb 00:17:12 ::  Train Loss Value: 0.3826033177206422
09 Feb 00:18:57 ::  Train Loss Value: 0.3788650885588183
09 Feb 00:20:53 ::  Train Loss Value: 0.37977915913831417
09 Feb 00:22:44 ::  Train Loss Value: 0.3801946240959438
09 Feb 00:24:31 ::  Train Loss Value: 0.37619550244919225
09 Feb 00:26:21 ::  Train Loss Value: 0.37321163290392806
09 Feb 00:28:21 ::  Train Loss Value: 0.377520230926141
09 Feb 00:30:20 ::  Train Loss Value: 0.3812784602123282
09 Feb 00:32:17 ::  Train Loss Value: 0.3785873659769151
09 Feb 00:34:14 ::  Train Loss Value: 0.37799199803511757
09 Feb 00:36:17 ::  Train Loss Value: 0.37706984428276175
09 Feb 00:38:27 ::  Train Loss Value: 0.3785233462699519
09 Feb 00:40:39 ::  Train Loss Value: 0.3755878623206225
09 Feb 00:42:49 ::  Train Loss Value: 0.3764847006550622
09 Feb 00:45:00 ::  Train Loss Value: 0.3773836131344485
09 Feb 00:47:14 ::  Train Loss Value: 0.37812607268306614
09 Feb 00:49:22 ::  Train Loss Value: 0.38042923648474797
09 Feb 00:51:27 ::  Train Loss Value: 0.3799717880213718
09 Feb 00:53:39 ::  Train Loss Value: 0.3785190176523484
09 Feb 00:55:46 ::  Train Loss Value: 0.38276807730935536
09 Feb 00:57:56 ::  Train Loss Value: 0.3834266623788948
09 Feb 01:00:20 ::  Train Loss Value: 0.38489136198771734
09 Feb 01:02:46 ::  Train Loss Value: 0.382218755327089
09 Feb 01:04:55 ::  Train Loss Value: 0.3807874020086554
09 Feb 01:07:20 ::  Train Loss Value: 0.38210637103962924
09 Feb 01:09:30 ::  Train Loss Value: 0.38461276251675175
09 Feb 01:12:00 ::  Train Loss Value: 0.3830266620746706
09 Feb 01:14:31 ::  Train Loss Value: 0.38186075275577
09 Feb 01:17:06 ::  Train Loss Value: 0.3793363865132772
09 Feb 01:19:35 ::  Train Loss Value: 0.3822135716501381
09 Feb 01:21:58 ::  Train Loss Value: 0.377974124511226
09 Feb 01:24:27 ::  Train Loss Value: 0.3768107039847171
09 Feb 01:26:46 ::  Train Loss Value: 0.37579494836554694
09 Feb 01:29:28 ::  Train Loss Value: 0.37468020973531935
09 Feb 01:32:04 ::  Train Loss Value: 0.3737308916939993
09 Feb 01:34:34 ::  Train Loss Value: 0.3732765526264221
09 Feb 01:37:09 ::  Train Loss Value: 0.3723242296526215
09 Feb 01:39:45 ::  Train Loss Value: 0.3694044337881839
09 Feb 01:42:29 ::  Train Loss Value: 0.3680961612391171
09 Feb 01:45:09 ::  Train Loss Value: 0.36562971870086525
09 Feb 01:47:48 ::  Train Loss Value: 0.36400186084566677
09 Feb 01:50:24 ::  Train Loss Value: 0.3632891816737186
09 Feb 01:53:02 ::  Train Loss Value: 0.3608101160068402
09 Feb 01:55:48 ::  Train Loss Value: 0.35971800275926674
09 Feb 01:58:35 ::  Train Loss Value: 0.3586955353579848
09 Feb 02:01:28 ::  Train Loss Value: 0.35847591628190145
09 Feb 02:04:22 ::  Train Loss Value: 0.35579217920002076
09 Feb 02:07:19 ::  Train Loss Value: 0.35473676715624314
09 Feb 02:10:12 ::  Train Loss Value: 0.35552184957394184
09 Feb 02:12:59 ::  Train Loss Value: 0.3540749048831493
09 Feb 02:15:54 ::  Train Loss Value: 0.3531998214792488
09 Feb 02:18:48 ::  Train Loss Value: 0.35531105505209215
